0.8666,0.5958,-0.6349,-0.3381,0.2879,2010-09-02,2655.776
-0.0132,0.5072,-0.4704,-0.2977,0.1575,2010-09-03,2655.394
1.0624,0.4872,-0.3035,-0.1872,0.0146,2010-09-06,2696.25
0.0515,0.6695,-0.5733,-0.4269,0.4608,2010-09-07,2698.363
-0.0827,0.8180,-0.7094,-0.4172,0.2487,2010-09-08,2695.291
-1.0187,0.0008,0.0997,-0.2713,0.1958,2010-09-09,2656.352
0.1767,0.0831,-0.1416,-0.4208,0.1639,2010-09-10,2663.209
0.6517,-0.0949,-0.2486,-0.3842,0.0499,2010-09-13,2688.32
0.0021,-0.1163,-0.6078,-0.3633,0.2177,2010-09-14,2688.522
-0.9444,-0.4899,-0.0357,-0.3533,0.1719,2010-09-15,2652.503
-1.3322,-0.6258,0.8716,-0.3761,0.1396,2010-09-16,2602.465
-0.1045,-0.7477,-0.6551,-0.6447,0.1353,2010-09-17,2598.689
-0.2716,-1.1480,-0.2865,-0.6725,0.0975,2010-09-20,2588.713
0.0733,-1.1171,-0.7043,-0.8327,0.2395,2010-09-21,2591.55
0.9706,-0.2869,-0.3547,-0.6921,-0.0449,2010-09-27,2627.967
-0.4457,0.0974,-0.7955,-0.5702,0.1627,2010-09-28,2611.354
-0.0212,0.1335,-0.4122,-0.6039,0.1606,2010-09-29,2610.678
1.1889,0.7666,0.4930,-0.5967,0.1105,2010-09-30,2655.658
2.1467,1.6654,0.7890,-0.2505,0.3150,2010-10-08,2738.744
1.7133,1.9873,0.6918,0.2876,0.2253,2010-10-11,2806.942
0.8485,2.5484,0.4493,-0.0131,0.1825,2010-10-12,2841.407
0.4852,2.7679,-0.3224,0.1207,0.1772,2010-10-13,2861.361
0.4411,2.4437,0.2180,0.4519,0.0739,2010-10-14,2879.636
2.1803,2.4583,1.8901,0.5052,0.2903,2010-10-15,2971.16
-0.3784,1.5516,0.9182,0.7057,0.1623,2010-10-18,2955.227
1.0893,1.6559,0.6210,0.0112,0.1608,2010-10-19,3001.853
0.0456,1.4654,1.4013,0.2896,0.1192,2010-10-20,3003.951
-0.4791,1.0665,0.3022,-0.0580,0.0994,2010-10-21,2983.533
-0.2020,0.0337,-0.1652,-0.1656,0.2054,2010-10-22,2975.043
1.7657,0.9632,1.2084,0.1720,0.0872,2010-10-25,3051.419
-0.2294,0.3916,0.1557,0.2219,0.1313,2010-10-26,3041.543
-1.0316,-0.0754,0.5021,0.0532,0.1490,2010-10-27,2997.048
-0.1073,0.0858,-0.3201,-0.1922,0.0214,2010-10-28,2992.579
-0.3244,0.0327,-0.2139,-0.1654,0.2453,2010-10-29,2978.835
1.7363,0.0200,0.4933,0.1279,0.0856,2010-11-01,3054.021
-0.1997,0.0329,0.2780,0.4181,0.1069,2010-11-02,3045.434
-0.3350,0.3349,0.0570,0.1550,0.1346,2010-11-03,3030.988
1.2733,0.9334,0.0507,0.0576,0.0022,2010-11-04,3086.939
0.9523,1.4868,-0.3947,0.3207,0.2576,2010-11-05,3129.497
0.6629,1.0215,-0.4021,0.2717,0.0581,2010-11-08,3159.512
-0.5467,0.8711,-0.0741,0.1745,0.0904,2010-11-09,3135.0
-0.4418,0.8248,-0.5610,0.1190,0.1776,2010-11-10,3115.356
0.7186,0.5843,0.8703,0.3081,0.0188,2010-11-11,3147.744
-3.6976,-1.4315,3.4457,0.4791,0.0224,2010-11-12,2985.435
0.6709,-1.4280,0.7839,-0.1201,0.6855,2010-11-15,3014.413
-2.8350,-2.4200,2.1113,0.0143,0.3272,2010-11-16,2894.538
-1.3586,-2.8174,0.5936,-0.3403,0.3542,2010-11-17,2838.857
0.6475,-2.8482,-0.0072,-0.5019,0.2878,2010-11-18,2865.452
0.5575,-1.0037,1.0512,-0.3403,0.3328,2010-11-19,2888.566
-0.1046,-1.3398,0.1460,-0.3153,0.2684,2010-11-22,2884.371
-1.3735,-0.7063,1.0194,-0.3963,0.3083,2010-11-23,2828.282
0.7735,0.2180,0.6049,-0.3975,0.2528,2010-11-24,2859.936
0.9258,0.3386,-0.0740,-0.2816,0.8025,2010-11-25,2898.261
